date,tmax,tmin,tavg,departure,HDD,CDD,precipitation,new_snow,snow_depth
2019-01-01,60,40,50.0,13.9,15,0,0.08,0,0
2019-02-01,41,35,38.0,2.1,27,0,0,0,0
2019-03-01,45,39,42.0,6.3,23,0,T,0,0
2019-04-01,47,37,42.0,6.5,23,0,0,0,0
2019-05-01,47,42,44.5,9.1,20,0,0.45,0,0
2019-06-01,49,32,40.5,5.3,24,0,T,0,0
2019-07-01,35,26,30.5,-4.5,34,0,0,0,0
2019-08-01,47,35,41.0,6.1,24,0,0.21,0,0
2019-09-01,46,35,40.5,5.8,24,0,0.07,0,0
2019-10-01,35,30,32.5,-2.1,32,0,0,0,0
2019-11-01,32,22,27.0,-7.5,38,0,0,0,0
2019-12-01,34,21,27.5,-6.9,37,0,0,0,0
,33,25,29.0,-5.2,36,0,T,T,T
,35,22,28.5,-5.7,36,0,0,0,0
,36,26,31.0,-3.1,34,0,0,0,0
,40,31,35.5,1.5,29,0,0,0,0
,34,26,30.0,-3.9,35,0,0,0,0
,42,29,35.5,1.6,29,0,0.03,0.4,T
,39,32,35.5,1.7,29,0,0.34,T,0
,40,16,28.0,-5.8,37,0,1,T,0
,16,5,10.5,-23.3,54,0,0,0,0
,31,14,22.5,-11.3,42,0,0,0,0
,47,30,38.5,4.7,26,0,T,0,0
,57,35,46.0,12.2,19,0,1.48,0,0
,40,29,34.5,0.7,30,0,0,0,0
,35,25,30.0,-3.8,35,0,0,0,0
,49,29,39.0,5.1,26,0,0,0,0
,39,25,32.0,-1.9,33,0,0,0,0
,44,25,34.5,0.5,30,0,0.27,T,0
,36,7,21.5,-12.6,43,0,T,0.2,0
,17,3,10.0,-24.1,55,0,0,0,0
2019-01-02,22,12,17.0,-17.2,48,0,0,0,0
2019-02-02,35,18,26.5,-7.8,38,0,0,0,0
2019-03-02,52,31,41.5,7.1,23,0,0,0,0
2019-04-02,59,36,47.5,12.9,17,0,0,0,0
2019-05-02,65,36,50.5,15.8,14,0,0,0,0
2019-06-02,46,35,40.5,5.7,24,0,0.47,0,0
2019-07-02,44,37,40.5,5.6,24,0,0.11,0,0
2019-08-02,55,33,44.0,8.9,21,0,0.37,0,0
2019-09-02,33,24,28.5,-6.7,36,0,0,0,0
2019-10-02,36,24,30.0,-5.4,35,0,0,0,0
2019-11-02,37,31,34.0,-1.6,31,0,0,0,0
2019-12-02,35,26,30.5,-5.2,34,0,0.7,1.5,0
,42,33,37.5,1.6,27,0,0.06,T,1
,46,33,39.5,3.4,25,0,0,0,0
,56,41,48.5,12.2,16,0,0,0,0
,46,32,39.0,2.6,26,0,0,0,0
,37,26,31.5,-5.1,33,0,0.04,0,0
,42,26,34.0,-2.8,31,0,0.1,0,0
,36,24,30.0,-7.0,35,0,0,0,0
,32,26,29.0,-8.2,36,0,0.59,1.4,0
,52,32,42.0,4.6,23,0,0.14,T,T
,43,37,40.0,2.4,25,0,0,0,0
,39,32,35.5,-2.3,29,0,T,0,0
,47,35,41.0,3.0,24,0,0.73,0,0
,43,28,35.5,-2.7,29,0,T,0,0
,37,25,31.0,-7.4,34,0,0,0,0
,29,23,26.0,-12.7,39,0,0,0,0
,36,26,31.0,-7.9,34,0,0.03,0.1,T
2019-01-03,36,25,30.5,-8.6,34,0,0.1,1.2,1
2019-02-03,41,30,35.5,-3.8,29,0,0.45,3.8,3
